ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
CP080583.1,Locusta migratoria,gut,Animal
CP080570.1,environmental,environmental,Env.
MW415444.1,Canis lupus mixed,urine,Animal
MW415443.1,Canis lupus pekingnese,urine,Animal
MW415442.1,Canis lupus bichon frise,ear swab,Animal
MW415441.1,Canis lupus labrador retriever,ear swab,Animal
MW415440.1,Canis lupus mixed,urine,Animal
CP076091.1,soil,soil,Env.
CP076089.1,water,water,Env.
CP076087.1,water,water,Env.
CP074674.1,soil,soil,Env.
CP061478.1,biofilm sample,biofilm sample,Env.
CP076094.1,water,water,Env.
CP077787.1,Ipomoea aquatic,diseased leaves,Env.
CP077786.1,Ipomoea aquatic,diseased leaves,Env.
CP049851.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP049850.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP049849.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP049848.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP049847.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP049846.1,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,Human
CP080284.1,Homo sapiens,sputum,Human
CP080283.1,Homo sapiens,sputum,Human
CP079980.1,calf,nasal swab sample,Animal
CP079978.1,calf,nasal swab sample,Animal
CP079977.1,calf,nasal swab sample,Animal
CP079976.1,calf,nasal swab sample,Animal
CP079975.1,calf,nasal swab sample,Animal
CP079974.1,calf,nasal swab sample,Animal
CP079973.1,calf,nasal swab sample,Animal
CP079972.1,calf,nasal swab sample,Animal
CP079835.1,Erigeron annuus L. Pers,,Env.
CP074423.1,Scylla serrata,South China Sea,Animal
CP074422.1,Scylla serrata,South China Sea,Animal
CP074421.1,Scylla serrata,South China Sea,Animal
CP074420.1,Scylla serrata,South China Sea,Animal
AP024522.1,Equus caballus,,Animal
AP024520.1,Equus caballus,,Animal
AP024519.1,Equus caballus,,Animal
CP059574.1,soil,soil,Env.
CP059573.1,soil,soil,Env.
CP077709.1,Pond,Pond,Env.
CP077708.1,Pond,Pond,Env.
CP077707.1,Pond,Pond,Env.
CP077705.1,Pond,Pond,Env.
CP077703.1,Pond,Pond,Env.
CP077701.1,Pond,Pond,Env.
CP077700.1,Pond,Pond,Env.
CP077698.1,Pond,Pond,Env.
CP077697.1,Pond,Pond,Env.
CP077695.1,pond,pond,Env.
CP077694.1,pond,pond,Env.
CP077692.1,pond,pond,Env.
CP067056.1,soil,soil,Env.
CP067055.1,soil,soil,Env.
CP067054.1,soil,soil,Env.
CP078055.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078054.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078053.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078052.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078051.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078050.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078049.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078048.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078047.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP078046.1,bedside rail in hospital intensive care unit,bedside rail in hospital intensive care unit,Env.
CP070361.1,Homo sapiens,,Human
CP070359.1,Homo sapiens,,Human
CP070365.1,Homo sapiens,,Human
CP070363.1,Homo sapiens,,Human
CP012867.1,soil,soil,Env.
CP012866.1,soil,soil,Env.
CP012865.1,soil,soil,Env.
CP012864.1,soil,soil,Env.
CP012863.1,soil,soil,Env.
CP012862.1,soil,soil,Env.
CP012861.1,soil,soil,Env.
CP012860.1,soil,soil,Env.
CP012859.1,soil,soil,Env.
CP012858.1,soil,soil,Env.
CP012857.1,soil,soil,Env.
CP012856.1,soil,soil,Env.
CP012855.1,soil,soil,Env.
CP012854.1,soil,soil,Env.
CP012853.1,soil,soil,Env.
CP012852.1,soil,soil,Env.
AP024479.1,Homo sapiens,,Human
AP024477.1,Homo sapiens,,Human
AP024476.1,Homo sapiens,,Human
AP024474.1,Homo sapiens,,Human
CP066778.1,cheese,cheese,Env.
CP078109.1,environmental,environmental,Env.
CP078108.1,environmental,environmental,Env.
CP078107.1,environmental,environmental,Env.
CP078112.1,PIF Production Facility Environment,PIF Production Facility Environment,Env.
CP078111.1,PIF Production Facility Environment,PIF Production Facility Environment,Env.
AP024826.1,Felis catus,,Animal
AP024825.1,Felis catus,,Animal
AP024824.1,Felis catus,,Animal
AP024823.1,Felis catus,,Animal
AP024822.1,Felis catus,,Animal
AP024821.1,Felis catus,,Animal
AP024820.1,Felis catus,,Animal
AP024818.1,Canis lupus familiaris,,Animal
AP024817.1,Canis lupus familiaris,,Animal
AP024816.1,Canis lupus familiaris,,Animal
AP024815.1,Canis lupus familiaris,,Animal
LC635857.1,Homo sapiens,,Human
AP024799.1,Homo sapiens,,Human
AP024800.1,Homo sapiens,,Human
AP024801.1,Homo sapiens,,Human
AP024803.1,Homo sapiens,,Human
AP024804.1,Homo sapiens,,Human
AP024805.1,Homo sapiens,,Human
AP024806.1,Homo sapiens,,Human
AP024807.1,Homo sapiens,,Human
AP024808.1,Homo sapiens,,Human
AP024809.1,Homo sapiens,,Human
AP024810.1,Homo sapiens,,Human
AP024811.1,Homo sapiens,,Human
AP024812.1,Homo sapiens,,Human
AP024813.1,Homo sapiens,,Human
CP039577.1,Homo sapiens,,Human
CP077748.1,tomato rhizosphere soil,tomato rhizosphere soil,Env.
CP077747.1,tomato rhizosphere soil,tomato rhizosphere soil,Env.
AP024796.1,Homo sapiens,,Human
AP024793.1,Homo sapiens,,Human
AP024790.1,Homo sapiens,,Human
AP024789.1,Homo sapiens,,Human
AP024786.1,Homo sapiens,,Human
AP024785.1,Homo sapiens,,Human
AP024782.1,Homo sapiens,,Human
AP024779.1,Homo sapiens,,Human
AP024777.1,Homo sapiens,,Human
AP024776.1,Homo sapiens,,Human
AP024773.1,Homo sapiens,,Human
AP024770.1,Homo sapiens,,Human
AP024767.1,Homo sapiens,,Human
AP024765.1,Homo sapiens,,Human
AP024764.1,Homo sapiens,,Human
AP024761.1,Homo sapiens,,Human
AP024759.1,Homo sapiens,,Human
AP024758.1,Homo sapiens,,Human
AP024757.1,Homo sapiens,,Human
AP024754.1,Homo sapiens,,Human
AP024752.1,Homo sapiens,,Human
AP024751.1,Homo sapiens,,Human
CP036162.1,Solanum tuberosum,plant,Env.
CP074237.1,environmental swab,environmental swab,Env.
CP077416.1,soil,soil,Env.
CP077071.1,pig,pig,Animal
CP077070.1,pig,pig,Animal
CP077069.1,pig,pig,Animal
CP077068.1,pig,pig,Animal
CP077067.1,pig,pig,Animal
CP077066.1,pig,pig,Animal
CP077065.1,pig,pig,Animal
CP077064.1,pig,pig,Animal
CP076682.1,Ocean water,Ocean water,Env.
CP076416.1,tobacco,,Env.
CP076328.1,creek water,creek water,Env.
CP075136.1,Environmental (Pond),Environmental (Pond),Env.
CP058825.1,Homo sapiens,,Human
CP058824.1,Homo sapiens,,Human
CP058823.1,Homo sapiens,,Human
CP058822.1,Homo sapiens,,Human
CP058821.1,Homo sapiens,,Human
CP058820.1,Homo sapiens,,Human
CP058819.1,Homo sapiens,,Human
CP058818.1,Homo sapiens,,Human
CP058817.1,Homo sapiens,,Human
CP058816.1,Homo sapiens,,Human
CP058815.1,Homo sapiens,,Human
CP058814.1,Homo sapiens,,Human
CP058813.1,Homo sapiens,,Human
CP054203.1,Homo sapiens,feces,Human
CP054202.1,Homo sapiens,feces,Human
CP054201.1,Homo sapiens,feces,Human
CP054200.1,Homo sapiens,feces,Human
CP054199.1,Homo sapiens,feces,Human
CP053880.1,chicken,chicken,Animal
CP076296.1,Sus,,Animal
CP076295.1,Sus,,Animal
CP076294.1,Sus,,Animal
CP066850.1,soil,soil,Env.
CP066849.1,soil,soil,Env.
CP066848.1,soil,soil,Env.
CP075139.1,Environmental (Pond),Environmental (Pond),Env.
CP075133.1,Environmental (Pond),Environmental (Pond),Env.
CP075131.1,Environmental (Pond),Environmental (Pond),Env.
CP075130.1,Environmental (Pond),Environmental (Pond),Env.
CP075126.1,Environmental (Pond),Environmental (Pond),Env.
CP075124.1,mouse,,Animal
CP075123.1,mouse,,Animal
CP075114.1,Bos taurus,,Animal
CP075111.1,stream sediment,stream sediment,Env.
CP075051.1,sediment stream,sediment stream,Env.
CP075049.1,water stream,water stream,Env.
CP075047.1,sediment stream,sediment stream,Env.
CP075023.1,quail,quail,Animal
CP075020.1,goose,goose,Animal
CP075014.1,water gallon,water gallon,Env.
CP075012.1,sediment,sediment,Env.
CP074664.1,Post-chill chicken carcass,Post-chill chicken carcass,Animal
CP074669.1,water stream,water stream,Env.
CP074667.1,"tomato, internal","tomato, internal",Env.
CP074646.1,water,water,Env.
CP074645.1,water,water,Env.
CP074655.1,water,water,Env.
CP074654.1,water,water,Env.
CP074642.1,water,water,Env.
CP074641.1,water,water,Env.
CP074638.1,water,water,Env.
CP074637.1,water,water,Env.
CP074635.1,water,water,Env.
CP074634.1,water,water,Env.
CP074631.1,water,water,Env.
CP074629.1,soil,soil,Env.
CP075614.1,soil,soil,Env.
CP075613.1,soil,soil,Env.
CP075612.1,soil,soil,Env.
CP075032.1,swine,swine,Animal
CP075119.1,mouse,,Animal
AP023318.1,Bos taurus,,Animal
AP023314.1,Bos taurus,,Animal
AP023312.1,Bos taurus,,Animal
AP023310.1,Bos taurus,,Animal
AP023308.1,Bos taurus,,Animal
AP023307.1,Bos taurus,,Animal
AP023305.1,Bos taurus,,Animal
AP023302.1,Bos taurus,,Animal
AP023301.1,Bos taurus,,Animal
AP023298.1,Bos taurus,,Animal
AP023297.1,Bos taurus,,Animal
AP023296.1,Bos taurus,,Animal
AP023295.1,Bos taurus,,Animal
AP023293.1,Bos taurus,,Animal
CP066211.1,Homo sapiens,Rectal swab,Human
CP066210.1,Homo sapiens,Rectal swab,Human
CP066209.1,Homo sapiens,Rectal swab,Human
CP066208.1,Homo sapiens,Rectal swab,Human
CP066207.1,Homo sapiens,Rectal swab,Human
CP066206.1,Homo sapiens,Rectal swab,Human
CP065765.1,Homo sapiens,urine,Human
CP066213.1,Homo sapiens,Digestive,Human
CP075027.1,swine,swine,Animal
CP075025.1,swine,swine,Animal
CP074624.1,soil,soil,Env.
CP074621.1,water,water,Env.
CP074618.1,opossum,opossum,Animal
CP074608.1,parrot,parrot,Animal
CP049903.1,Euphausia superba,,Animal
CP049798.1,Euphausia superba,,Animal
CP074590.1,"pasteurized spray dried egg products blend (whole eggs, corn syrup, and salt)","pasteurized spray dried egg products blend (whole eggs, corn syrup, and salt)",Env.
CP074574.1,cold seep,cold seep,Env.
CP074403.1,soil,soil,Env.
CP074414.1,Homo sapiens,bronchial alveolar lavage fluid,Human
CP074344.1,clinical sample,clinical sample,Human
CP074342.1,clinical sample,clinical sample,Human
CP074329.1,sediment,sediment,Env.
CP074315.1,Homo sapiens,stool,Human
CP074311.1,environmental swab,environmental swab,Env.
CP074303.1,water,water,Env.
CP074301.1,Bos taurus,dairy cow feces (Bos taurus),Animal
CP074300.1,Bos taurus,dairy cow feces (Bos taurus),Animal
CP074282.1,water,water,Env.
CP074277.1,water,water,Env.
CP074271.1,surface,surface,Env.
CP074273.1,surface,surface,Env.
CP074266.1,surface,surface,Env.
CP074255.1,Anas platyrhynchos,,Animal
CP074250.1,product egg raw whole,product egg raw whole,Env.
CP074253.1,Sus scrofa domesticus,Sus scrofa,Animal
CP074239.1,environmental swab,environmental swab,Env.
CP074230.1,Bos taurus,cattle (Bos taurus),Animal
CP074218.1,Homo sapiens,,Human
CP074228.1,Bos taurus,bovine (Bos taurus),Animal
CP074227.1,Bos taurus,bovine (Bos taurus),Animal
CP074214.1,Homo sapiens,,Human
CP074235.1,Meleagris gallopavo,turkey (Meleagris gallopavo),Animal
CP074136.1,soil,soil,Env.
CP074135.1,soil,soil,Env.
CP074134.1,soil,soil,Env.
CP074079.1,Leptinotarsa decemlineata,,Env.
AP024319.1,Homo sapiens,,Human
AP024317.1,Homo sapiens,,Human
AP024316.1,Homo sapiens,,Human
AP024314.1,Homo sapiens,,Human
AP024312.1,Homo sapiens,,Human
CP073059.1,Homo sapiens,,Human
CP073058.1,Homo sapiens,,Human
CP073057.1,Homo sapiens,,Human
CP073056.1,Homo sapiens,,Human
CP073055.1,Homo sapiens,,Human
CP073592.1,Homo sapiens,,Human
